"maxiter","width","height","lower_r","upper_r","lower_i","upper_i","nb_thread","loadbalance","try","thread","thread_start_time_sec","thread_start_time_nsec","thread_stop_time_sec","thread_stop_time_nsec","global_start_time_sec","global_start_time_nsec","global_stop_time_sec","global_stop_time_nsec"
256,500,375,-2,"0.6",-1,1,3,0,8,2,26826,463151327,26826,562899158,26826,462991941,26826,562980906
256,500,375,-2,"0.6",-1,1,3,0,8,3,26826,463094861,26826,502015170,26826,462991941,26826,562980906
256,500,375,-2,"0.6",-1,1,3,0,9,1,26826,669320368,26826,705379467,26826,669126483,26826,766967727
256,500,375,-2,"0.6",-1,1,3,0,9,2,26826,669389418,26826,766883895,26826,669126483,26826,766967727
256,500,375,-2,"0.6",-1,1,3,0,9,3,26826,669401410,26826,705954641,26826,669126483,26826,766967727
256,500,375,-2,"0.6",-1,1,3,0,10,1,26826,851421134,26826,888260045,26826,851285115,26826,949895240
256,500,375,-2,"0.6",-1,1,3,0,10,2,26826,851492459,26826,949800200,26826,851285115,26826,949895240
256,500,375,-2,"0.6",-1,1,3,0,10,3,26826,851457216,26826,888830480,26826,851285115,26826,949895240
256,500,375,-2,"0.6",-1,1,3,1,1,1,26827,36944873,26827,95086779,26827,36761093,26827,95167117
256,500,375,-2,"0.6",-1,1,3,1,1,2,26827,37018047,26827,94344789,26827,36761093,26827,95167117
256,500,375,-2,"0.6",-1,1,3,1,1,3,26827,37013262,26827,93659133,26827,36761093,26827,95167117
256,500,375,-2,"0.6",-1,1,3,1,2,1,26827,174896732,26827,230797807,26827,174746609,26827,230875748
256,500,375,-2,"0.6",-1,1,3,1,2,2,26827,174849607,26827,229307097,26827,174746609,26827,230875748
256,500,375,-2,"0.6",-1,1,3,1,2,3,26827,174845230,26827,230058429,26827,174746609,26827,230875748
256,500,375,-2,"0.6",-1,1,3,1,3,1,26827,310713577,26827,368973559,26827,310465196,26827,370486443
256,500,375,-2,"0.6",-1,1,3,1,3,2,26827,310710666,26827,369677374,26827,310465196,26827,370486443
256,500,375,-2,"0.6",-1,1,3,1,3,3,26827,310742221,26827,370404584,26827,310465196,26827,370486443
256,500,375,-2,"0.6",-1,1,3,1,4,1,26827,449020133,26827,505633452,26827,448872607,26827,505733174
256,500,375,-2,"0.6",-1,1,3,1,4,2,26827,448994456,26827,504833439,26827,448872607,26827,505733174
256,500,375,-2,"0.6",-1,1,3,1,4,3,26827,448972800,26827,504110985,26827,448872607,26827,505733174
256,500,375,-2,"0.6",-1,1,3,1,5,1,26827,582360251,26827,640534414,26827,582283407,26827,640627571
256,500,375,-2,"0.6",-1,1,3,1,5,2,26827,582411213,26827,639753524,26827,582283407,26827,640627571
256,500,375,-2,"0.6",-1,1,3,1,5,3,26827,582389073,26827,639118344,26827,582283407,26827,640627571
256,500,375,-2,"0.6",-1,1,3,1,6,1,26827,721914313,26827,781406945,26827,721665405,26827,781488929
256,500,375,-2,"0.6",-1,1,3,1,6,2,26827,721877824,26827,779941318,26827,721665405,26827,781488929
256,500,375,-2,"0.6",-1,1,3,1,6,3,26827,721876029,26827,780650857,26827,721665405,26827,781488929
256,500,375,-2,"0.6",-1,1,3,1,7,1,26827,860427155,26827,919320084,26827,860293664,26827,920187472
256,500,375,-2,"0.6",-1,1,3,1,7,2,26827,860474795,26827,918633786,26827,860293664,26827,920187472
256,500,375,-2,"0.6",-1,1,3,1,7,3,26827,860477976,26827,920082666,26827,860293664,26827,920187472
256,500,375,-2,"0.6",-1,1,3,1,8,1,26827,997494281,26828,56964312,26827,997377208,26828,57042230
256,500,375,-2,"0.6",-1,1,3,1,8,2,26827,997544101,26828,55523110,26827,997377208,26828,57042230
256,500,375,-2,"0.6",-1,1,3,1,8,3,26827,997565185,26828,56175187,26827,997377208,26828,57042230
256,500,375,-2,"0.6",-1,1,3,1,9,1,26828,134487690,26828,189908921,26828,134330125,26828,190732683
256,500,375,-2,"0.6",-1,1,3,1,9,2,26828,134451928,26828,189219232,26828,134330125,26828,190732683
256,500,375,-2,"0.6",-1,1,3,1,9,3,26828,134508711,26828,190655958,26828,134330125,26828,190732683
256,500,375,-2,"0.6",-1,1,3,1,10,1,26828,269090654,26828,327710096,26828,268882131,26828,328520959
256,500,375,-2,"0.6",-1,1,3,1,10,2,26828,269033503,26828,327007070,26828,268882131,26828,328520959
256,500,375,-2,"0.6",-1,1,3,1,10,3,26828,269094659,26828,328449790,26828,268882131,26828,328520959
256,500,375,-2,"0.6",-1,1,3,2,1,1,26828,417901175,26828,585380285,26828,417657604,26828,585459590
256,500,375,-2,"0.6",-1,1,3,2,1,2,26828,417828571,26828,417828709,26828,417657604,26828,585459590
256,500,375,-2,"0.6",-1,1,3,2,1,3,26828,417865286,26828,417865464,26828,417657604,26828,585459590
256,500,375,-2,"0.6",-1,1,3,2,2,1,26828,667386792,26828,834050897,26828,667213240,26828,834130970
256,500,375,-2,"0.6",-1,1,3,2,2,2,26828,667453348,26828,667453480,26828,667213240,26828,834130970
256,500,375,-2,"0.6",-1,1,3,2,2,3,26828,667453505,26828,667453703,26828,667213240,26828,834130970
256,500,375,-2,"0.6",-1,1,3,2,3,1,26828,919849996,26829,86308558,26828,919698049,26829,86380954
256,500,375,-2,"0.6",-1,1,3,2,3,2,26828,919879769,26828,919879851,26828,919698049,26829,86380954
256,500,375,-2,"0.6",-1,1,3,2,3,3,26828,919851043,26828,919851110,26828,919698049,26829,86380954
256,500,375,-2,"0.6",-1,1,3,2,4,1,26829,169403451,26829,333344227,26829,169213880,26829,333432211
256,500,375,-2,"0.6",-1,1,3,2,4,2,26829,169406778,26829,169406866,26829,169213880,26829,333432211
256,500,375,-2,"0.6",-1,1,3,2,4,3,26829,169335312,26829,169335390,26829,169213880,26829,333432211
256,500,375,-2,"0.6",-1,1,3,2,5,1,26829,417795276,26829,583178546,26829,417671664,26829,583281099
256,500,375,-2,"0.6",-1,1,3,2,5,2,26829,417826388,26829,417826470,26829,417671664,26829,583281099
256,500,375,-2,"0.6",-1,1,3,2,5,3,26829,417770694,26829,417770841,26829,417671664,26829,583281099
256,500,375,-2,"0.6",-1,1,3,2,6,1,26829,666920165,26829,833245473,26829,666745072,26829,833332648
256,500,375,-2,"0.6",-1,1,3,2,6,2,26829,666889160,26829,666889224,26829,666745072,26829,833332648
256,500,375,-2,"0.6",-1,1,3,2,6,3,26829,666854709,26829,666854855,26829,666745072,26829,833332648
